region_id,lon_center,lat_center,Transportation Facilities,Leisure & Entertainment,Companies & Enterprises,Healthcare,Commercial & Residential,Tourist Attractions,Automotive,Life Services,Science & Education & Culture,Shopping & Consumer Goods,Sports & Fitness,Hotels & Accommodations,Financial Institutions,Dining & Cuisine
0,115.588307526,28.30567324225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,115.62882523799999,28.30567324225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,115.66934295,28.30567324225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,115.709860662,28.30567324225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,115.750378374,28.30567324225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,115.790896086,28.30567324225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,115.831413798,28.30567324225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,115.87193151,28.30567324225,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,115.912449222,28.30567324225,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,115.952966934,28.30567324225,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,115.993484646,28.30567324225,0.0278,0,0.037,0.0663,0.00681,0.0011,0.0201,0.123,0.0262,0.429,0.00239,0.00773,0.0304,0.221
11,116.034002358,28.30567324225,0.455,0,0,0.273,0,0,0,0.0909,0.182,0,0,0,0,0
12,116.07452007,28.30567324225,0.25,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0
13,116.115037782,28.30567324225,0.00569,0.0159,0.243,0.0342,0.0216,0.0222,0.0273,0.102,0.0347,0.306,0.0114,0.0125,0.0182,0.145
14,116.155555494,28.30567324225,0.0199,0,0.313,0.038,0.0163,0,0.0398,0.0687,0.038,0.387,0,0.0163,0.00362,0.0597
15,116.19607320600001,28.30567324225,0,0,0.429,0,0,0,0,0,0.571,0,0,0,0,0
16,116.236590918,28.30567324225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,116.27710863,28.30567324225,0,0,0.889,0,0,0,0,0,0,0,0.111,0,0,0
18,116.31762634200001,28.30567324225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,116.35814405400001,28.30567324225,0.0417,0,0.167,0.0833,0,0,0.167,0.0417,0,0.375,0,0,0,0.125
20,115.588307526,28.33723724675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,115.62882523799999,28.33723724675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,115.66934295,28.33723724675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,115.709860662,28.33723724675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,115.750378374,28.33723724675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,115.790896086,28.33723724675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,115.831413798,28.33723724675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,115.87193151,28.33723724675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,115.912449222,28.33723724675,0.295,0.0179,0.0179,0.0312,0,0,0,0.0625,0.179,0.304,0,0,0.0312,0.0625
29,115.952966934,28.33723724675,0.622,0,0,0,0.028,0,0,0.0769,0.273,0,0,0,0,0
30,115.993484646,28.33723724675,0.0809,0,0.0979,0.0638,0,0.0638,0.0319,0.204,0.0957,0.26,0.00638,0,0.0319,0.0638
31,116.034002358,28.33723724675,0.115,0,0,0,0.115,0,0,0.115,0,0.538,0,0,0,0.115
32,116.07452007,28.33723724675,0.0172,0.0197,0.0293,0.0461,0.00836,0,0.00697,0.143,0.0319,0.418,0.00294,0.0141,0.0311,0.231
33,116.115037782,28.33723724675,0.105,0,0.784,0.0446,0,0,0.00515,0,0.0429,0.0154,0,0,0,0.00343
34,116.155555494,28.33723724675,0.118,0,0,0.118,0,0.0196,0,0.157,0.471,0.118,0,0,0,0
35,116.19607320600001,28.33723724675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,116.236590918,28.33723724675,0.0591,0.0118,0.0629,0.0104,0.0052,0.0052,0.0213,0.194,0.0369,0.402,0.0132,0.0458,0,0.132
37,116.27710863,28.33723724675,0.0299,0,0.651,0.0133,0.0532,0,0.093,0.0199,0.0631,0.00997,0,0,0,0.0664
38,116.31762634200001,28.33723724675,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,116.35814405400001,28.33723724675,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0
40,115.588307526,28.368801251249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,115.62882523799999,28.368801251249998,0.5,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0
42,115.66934295,28.368801251249998,0.0714,0,0,0,0,0,0,0.0714,0.0714,0.429,0,0,0.0714,0.286
43,115.709860662,28.368801251249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,115.750378374,28.368801251249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,115.790896086,28.368801251249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,115.831413798,28.368801251249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,115.87193151,28.368801251249998,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,115.912449222,28.368801251249998,0.0465,0.0124,0.0311,0.0796,0.009,0,0.0545,0.127,0.0436,0.373,0.00535,0.02,0.0292,0.168
49,115.952966934,28.368801251249998,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,115.993484646,28.368801251249998,0.0818,0.0251,0.0826,0.0273,0.0237,0.0811,0.0474,0.181,0.0826,0.205,0.0129,0.0144,0,0.135
51,116.034002358,28.368801251249998,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0
52,116.07452007,28.368801251249998,0.0232,0.00774,0.119,0.0297,0.00903,0,0.0387,0.13,0.11,0.474,0,0.00903,0.0103,0.04
