base_id,place,latitude,longitude,poi_Transportation Facilities,poi_Leisure & Entertainment,poi_Companies & Enterprises,poi_Healthcare,poi_Commercial & Residential,poi_Tourist Attractions,poi_Automotive,poi_Life Services,poi_Science & Education & Culture,poi_Shopping & Consumer Goods,poi_Sports & Fitness,poi_Hotels & Accommodations,poi_Financial Institutions,poi_Dining & Cuisine
1,青山湖江西省电子信息工程学院北区教学楼2栋,28.692452,115.964207,18,0,28,3,5,0,2,5,9,6,0,4,3,13
2,青山湖江西省电子信息工程学院北区教学楼2栋,28.692452,115.964207,18,0,28,3,5,0,2,5,9,6,0,4,3,13
3,青山湖江西省电子信息工程学院北区教学楼2栋,28.692452,115.964207,18,0,28,3,5,0,2,5,9,6,0,4,3,13
4,青山湖江西省电子信息工程学院北区教学楼2栋,28.692503,115.96402,18,0,27,3,4,0,2,5,9,6,0,4,3,13
5,青山湖江西省电子信息工程学院北区教学楼2栋,28.692503,115.96402,18,0,27,3,4,0,2,5,9,6,0,4,3,13
6,青山湖江西省电子信息工程学院北区教学楼2栋,28.692503,115.96402,18,0,27,3,4,0,2,5,9,6,0,4,3,13
7,青山湖江西省电子信息工程学院北区教学楼2栋,28.692503,115.96402,18,0,27,3,4,0,2,5,9,6,0,4,3,13
8,青山湖江西省电子信息工程学院北区教学楼2栋,28.692503,115.96402,18,0,27,3,4,0,2,5,9,6,0,4,3,13
9,青山湖江西省电子信息工程学院北区教学楼2栋,28.692503,115.96402,18,0,27,3,4,0,2,5,9,6,0,4,3,13
10,顺外路现代技师学院学生宿舍,28.66138,115.951085,2,5,5,0,2,1,1,13,16,11,0,4,0,33
11,顺外路现代技师学院学生宿舍,28.661423,115.95111,2,5,4,0,2,1,4,12,16,10,0,4,0,34
12,顺外路现代技师学院学生宿舍,28.66138,115.951085,2,5,5,0,2,1,1,13,16,11,0,4,0,33
13,顺外路现代技师学院学生宿舍,28.661408,115.951118,2,5,5,0,2,1,4,13,16,10,0,4,0,34
14,顺外路现代技师学院学生宿舍,28.66138,115.951085,2,5,5,0,2,1,1,13,16,11,0,4,0,33
15,顺外路现代技师学院学生宿舍,28.66138,115.951085,2,5,5,0,2,1,1,13,16,11,0,4,0,33
16,顺外路现代技师学院学生宿舍,28.661408,115.951118,2,5,5,0,2,1,4,13,16,10,0,4,0,34
17,红角洲南昌科技大学教学楼,28.669442,115.81531,2,0,0,0,1,0,0,0,15,2,0,0,0,6
18,红角洲南昌科技大学教学楼,28.669442,115.81531,2,0,0,0,1,0,0,0,15,2,0,0,0,6
19,红角洲南昌科技大学教学楼,28.669297,115.815335,3,0,0,0,1,0,0,0,16,2,0,0,0,5
20,红角洲南昌科技大学教学楼,28.669297,115.815335,3,0,0,0,1,0,0,0,16,2,0,0,0,5
21,红角洲南昌科技大学教学楼,28.669442,115.81531,2,0,0,0,1,0,0,0,15,2,0,0,0,6
22,红角洲南昌科技大学教学楼3DMIMO,28.669442,115.81531,2,0,0,0,1,0,0,0,15,2,0,0,0,6
23,红角洲南昌科技大学教学楼,28.669442,115.81531,2,0,0,0,1,0,0,0,15,2,0,0,0,6
24,昌东师大10号宿舍楼,28.686698,116.020873,1,0,1,3,3,2,0,6,9,5,2,0,0,21
25,昌东师大10号宿舍楼,28.68677,116.020985,0,0,1,2,3,2,0,5,12,5,2,0,0,21
26,昌东师大10号宿舍楼,28.68677,116.020985,0,0,1,2,3,2,0,5,12,5,2,0,0,21
27,昌东师大10号宿舍楼,28.686707,116.021058,1,0,1,2,3,2,0,6,10,5,2,0,0,21
28,昌东师大保卫楼,28.683388,116.021005,1,1,0,4,3,1,2,6,11,9,4,0,0,32
29,昌东师大保卫楼,28.68331,116.020968,1,2,0,4,3,1,2,6,14,9,4,1,0,33
30,昌东师大保卫楼,28.68335,116.020785,1,2,1,4,3,1,2,6,13,10,4,1,0,33
31,京东南洋花园,28.679908,115.959302,18,11,30,13,8,1,7,64,29,93,10,32,5,153
32,京东塘南淦村,28.682037,115.95984100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,京东塘南淦村,28.68258,115.95998,26,9,8,22,7,0,10,57,23,75,9,22,7,118
34,京东塘南淦村,28.68258,115.95998,26,9,8,22,7,0,10,57,23,75,9,22,7,118
35,京东塘南淦村,28.68258,115.95998,26,9,8,22,7,0,10,57,23,75,9,22,7,118
36,京东塘南淦村,28.682537,115.959963,26,9,9,22,7,0,10,57,22,75,9,18,7,118
37,昌东太子殿卫生院,28.683684,116.0091,2,0,7,4,1,3,0,16,5,32,0,1,4,33
38,昌东太子殿卫生院,28.683684,116.0091,2,0,7,4,1,3,0,16,5,32,0,1,4,33
39,南昌县江西科技职业学院宿舍10栋,28.480438,115.955652,3,1,7,0,0,0,7,6,8,8,1,4,0,45
40,南昌县江西科技职业学院宿舍10栋,28.480438,115.955652,3,1,7,0,0,0,7,6,8,8,1,4,0,45
41,南昌县江西科技职业学院宿舍10栋,28.480422,115.955807,3,0,5,0,0,0,7,6,8,8,1,3,0,41
42,南昌县小兰金沙一路草珊瑚科技,28.556033,115.892942,1,0,33,0,0,0,1,4,2,8,0,0,0,1
43,南昌县小兰舒美特,28.55801,115.88801,3,3,25,0,0,0,5,3,8,3,1,0,1,4
44,南昌县小兰金沙一路草珊瑚科技,28.556033,115.892942,1,0,33,0,0,0,1,4,2,8,0,0,0,1
45,南昌县小兰舒美特,28.55722,115.887735,3,3,30,0,0,0,5,3,8,4,1,0,1,4
46,南昌县小兰舒美特,28.55801,115.88801,3,3,25,0,0,0,5,3,8,3,1,0,1,4
47,南昌县小兰舒美特,28.557217,115.887682,3,3,30,0,0,0,5,3,8,4,1,0,1,4
48,南昌县小兰舒美特,28.55801,115.88801,3,3,25,0,0,0,5,3,8,3,1,0,1,4
49,南昌县小兰舒美特,28.557217,115.887682,3,3,30,0,0,0,5,3,8,4,1,0,1,4
50,昌东黄家村卫生院,28.672837,116.011213,7,8,3,12,7,3,6,35,12,88,3,24,0,201
51,昌东黄家村卫生院,28.672837,116.011213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,昌东黄家村卫生院,28.672837,116.011213,7,8,3,12,7,3,6,35,12,88,3,24,0,201
53,昌东黄家村卫生院,28.672837,116.011213,7,8,3,12,7,3,6,35,12,88,3,24,0,201
54,青云谱航空路洪盛宾馆,28.611898,115.928513,16,3,46,8,5,0,7,30,2,195,3,18,11,43
55,青云谱航空路洪盛宾馆,28.61191,115.928555,15,3,45,8,5,0,9,29,2,196,3,18,11,43
56,青云谱航空路洪盛宾馆,28.612013,115.928542,15,3,45,8,5,0,8,30,2,196,3,18,11,43
57,麻纺厂,28.637858,115.899742,21,2,40,13,14,3,1,35,13,199,1,5,4,35
58,麻纺厂,28.637882,115.89968,21,2,41,13,14,3,1,35,14,202,1,5,4,35
59,麻纺厂,28.637815,115.899648,21,2,42,13,14,3,1,35,14,207,1,5,4,35
60,麻纺厂,28.637803,115.89982,21,2,40,13,14,3,1,35,13,203,1,5,4,36
61,昌东制造学院,28.673924,115.996604,2,0,0,1,1,0,0,0,30,4,2,0,0,4
62,昌东制造学院,28.673988,115.996603,2,0,0,1,1,0,0,0,30,4,2,0,0,4
63,昌东制造学院,28.673924,115.996604,2,0,0,1,1,0,0,0,30,4,2,0,0,4
64,昌东制造学院,28.6737,115.996478,1,0,0,1,2,0,0,0,30,4,2,0,0,4
65,昌东制造学院,28.673924,115.996604,2,0,0,1,1,0,0,0,30,4,2,0,0,4
66,昌东制造学院,28.6737,115.996478,1,0,0,1,2,0,0,0,30,4,2,0,0,4
67,江西工业学院瑶湖校区,28.699673833333332,116.025328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,江西工业学院瑶湖校区,28.695875,116.018468,5,1,2,0,2,0,0,3,11,7,0,0,0,14
69,江西工业学院瑶湖校区,28.695845,116.018475,5,1,2,0,2,0,0,3,11,7,0,0,0,15
70,江西工业学院瑶湖校区,28.695823,116.018455,5,1,2,0,2,0,0,3,11,7,0,0,0,15
71,艾溪湖北路赛维百思得景观塔,28.7035,116.03219,1,1,0,0,3,0,0,1,0,0,0,0,0,0
72,艾溪湖北路赛维百思得景观塔,28.7035,116.03219,1,1,0,0,3,0,0,1,0,0,0,0,0,0
73,艾溪湖北路赛维百思得景观塔,28.7035,116.03219,1,1,0,0,3,0,0,1,0,0,0,0,0,0
74,洪都机械,28.640218,115.919397,23,5,14,33,14,4,2,55,25,170,7,2,19,141
75,洪都机械,28.640218,115.919397,23,5,14,33,14,4,2,55,25,170,7,2,19,141
76,洪都机械,28.640208,115.919373,23,5,14,33,14,4,2,55,25,171,7,2,19,141
77,红角洲南大三食堂,28.668403,115.802828,0,0,1,4,2,1,0,23,22,24,1,0,4,48
78,红角洲南大三食堂,28.66858,115.80281,0,0,1,4,2,1,0,23,22,24,1,0,4,48
79,红角洲南大三食堂,28.66858,115.80281,0,0,1,4,2,1,0,23,22,24,1,0,4,48
