app_cate_id,bin_index,left,right
1,1,76.0,228.0
1,2,228.0,362.0
1,3,362.0,560.0
1,4,560.0,1372.0
1,5,1372.0,2153.0
1,6,2153.0,3571.0
1,7,3571.0,7517.0
1,8,7517.0,16731.0
1,9,16731.0,108046.0
1,10,108046.0,229894104.0
2,1,76.0,312.0
2,2,312.0,488.0
2,3,488.0,629.0000000000437
2,4,629.0000000000437,642.0
2,5,642.0,5656.0
2,6,5656.0,25202.299999999996
2,7,25202.299999999996,9930307.0
3,1,76.0,152.0
3,2,152.0,304.0
3,3,304.0,488.0
3,4,488.0,492.0
3,5,492.0,564.0
3,6,564.0,652.0
3,7,652.0,34089708.0
4,1,76.0,100.0
4,2,100.0,288.0
4,3,288.0,384.0
4,4,384.0,480.0
4,5,480.0,576.0
4,6,576.0,1932.0
4,7,1932.0,6132.0
4,8,6132.0,8894980.0
5,1,76.0,96.0
5,2,96.0,228.0
5,3,228.0,308.0
5,4,308.0,415.0
5,5,415.0,496.0
5,6,496.0,588.0
5,7,588.0,720.0
5,8,720.0,1272.0
5,9,1272.0,5519.0
5,10,5519.0,99962591.0
6,1,76.0,130.0
6,2,130.0,167.0
6,3,167.0,256.0
6,4,256.0,268.0
6,5,268.0,284.0
6,6,284.0,303.0
6,7,303.0,501.0
6,8,501.0,702.0
6,9,702.0,1019.0
6,10,1019.0,42852887.0
7,1,76.0,1219.0
7,2,1219.0,4444.0
7,3,4444.0,5560.0
7,4,5560.0,8000.0
7,5,8000.0,8266.0
7,6,8266.0,8438.0
7,7,8438.0,8661.0
7,8,8661.0,9116.0
7,9,9116.0,10954.0
7,10,10954.0,7109122.0
8,1,68.0,76.0
8,2,76.0,141.0
8,3,141.0,142.0
8,4,142.0,488.0
8,5,488.0,564.0
8,6,564.0,1720.0
8,7,1720.0,6840.0
8,8,6840.0,83983636.0
9,1,76.0,96.0
9,2,96.0,192.0
9,3,192.0,288.0
9,4,288.0,408.0
9,5,408.0,608.0
9,6,608.0,728.0
9,7,728.0,1329.0
9,8,1329.0,37838577.0
10,1,192.0,196.0
10,2,196.0,267.0
10,3,267.0,276.0
10,4,276.0,283.0
10,5,283.0,288.0
10,6,288.0,319.8
10,7,319.8,749.0
10,8,749.0,2418.800000000004
10,9,2418.800000000004,654542.0
11,1,76.0,164.0
11,2,164.0,327.0
11,3,327.0,432.0
11,4,432.0,744.0
11,5,744.0,2168.0
11,6,2168.0,5818.0000000000055
11,7,5818.0000000000055,12201.000000000022
11,8,12201.000000000022,24230.0
11,9,24230.0,59083.0
11,10,59083.0,10862896.0
12,1,65.0,192.0
12,2,192.0,539.0
12,3,539.0,656.0
12,4,656.0,1052.0
12,5,1052.0,1928.0
12,6,1928.0,2400.0
12,7,2400.0,2742.0
12,8,2742.0,3528.0
12,9,3528.0,5581.0
12,10,5581.0,9777135.0
13,1,64.0,134.0
13,2,134.0,213.60000000000014
13,3,213.60000000000014,432.0
13,4,432.0,544.0
13,5,544.0,810.0
13,6,810.0,1296.0
13,7,1296.0,1365.0
13,8,1365.0,3168.7999999999993
13,9,3168.7999999999993,19857557.0
14,1,594.0,636.0
14,2,636.0,665.0
14,3,665.0,668.0
14,4,668.0,24176.200000000023
14,5,24176.200000000023,59437.0
14,6,59437.0,153268.6000000001
14,7,153268.6000000001,219247.2
14,8,219247.2,229519.80000000002
14,9,229519.80000000002,257547.60000000003
14,10,257547.60000000003,294453.0
15,1,76.0,96.0
15,2,96.0,192.0
15,3,192.0,316.0
15,4,316.0,468.0
15,5,468.0,544.0
15,6,544.0,608.0
15,7,608.0,821.0
15,8,821.0,2090.0
15,9,2090.0,3192.0
15,10,3192.0,155244116.0
16,1,76.0,182.0
16,2,182.0,288.0
16,3,288.0,343.0
16,4,343.0,496.0
16,5,496.0,833.0
16,6,833.0,1794.0
16,7,1794.0,3330.2000000000044
16,8,3330.2000000000044,9173.999999999996
16,9,9173.999999999996,32748.400000000023
16,10,32748.400000000023,5502535.0
17,1,76.0,152.0
17,2,152.0,223.0
17,3,223.0,320.0
17,4,320.0,500.0
17,5,500.0,4685.0
17,6,4685.0,6030.0
17,7,6030.0,8446.0
17,8,8446.0,8990.0
17,9,8990.0,9573.0
17,10,9573.0,24775401.0
18,1,76.0,96.0
18,2,96.0,236.0
18,3,236.0,412.0
18,4,412.0,588.0
18,5,588.0,724.0
18,6,724.0,2461.0
18,7,2461.0,3140.0
18,8,3140.0,5976.0
18,9,5976.0,12643.5
18,10,12643.5,82193341.0
19,1,76.0,152.0
19,2,152.0,251.0
19,3,251.0,327.0
19,4,327.0,335.0
19,5,335.0,496.0
19,6,496.0,916.0
19,7,916.0,3824.0000000000255
19,8,3824.0000000000255,10117.0
19,9,10117.0,11850.0
19,10,11850.0,4078958.0
20,1,76.0,176.0
20,2,176.0,223.0
20,3,223.0,259.0
20,4,259.0,376.0
20,5,376.0,608.0
20,6,608.0,992.0
20,7,992.0,1832.600000000035
20,8,1832.600000000035,6944.0
20,9,6944.0,8355040.0
22,1,76.0,4473.0
22,2,4473.0,6001.0
22,3,6001.0,7264.0
22,4,7264.0,8414.0
22,5,8414.0,9705.0
22,6,9705.0,11549.0
22,7,11549.0,15084.0
22,8,15084.0,23889.0
22,9,23889.0,52726.600000000035
22,10,52726.600000000035,17615185.0
23,1,76.0,300.0
23,2,300.0,423.0
23,3,423.0,612.0
23,4,612.0,747.0
23,5,747.0,1060.0
23,6,1060.0,1896.0
23,7,1896.0,3637.0
23,8,3637.0,7027.0
23,9,7027.0,18773.0
23,10,18773.0,282767196.0
