region_id,lon_center,lat_center,Transportation Facilities,Leisure & Entertainment,Companies & Enterprises,Healthcare,Commercial & Residential,Tourist Attractions,Automotive,Life Services,Science & Education & Culture,Shopping & Consumer Goods,Sports & Fitness,Hotels & Accommodations,Financial Institutions,Dining & Cuisine
0,121.0531216645625,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,121.0927718186875,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,121.1324219728125,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,121.1720721269375,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,121.21172228106249,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,121.25137243518749,30.75205869425,0.178,0.0274,0.178,0.0685,0,0,0,0.0137,0,0.151,0,0,0,0.384
6,121.29102258931249,30.75205869425,0.041,0.0082,0.156,0.018,0.0262,0.00164,0.041,0.115,0.00984,0.462,0.00164,0.00492,0,0.115
7,121.33067274343749,30.75205869425,0.0738,0.0158,0.0753,0.0409,0.0275,0.00312,0.033,0.157,0.0533,0.305,0.0174,0.0118,0.0145,0.172
8,121.37032289756249,30.75205869425,0.0682,0.00349,0.143,0.0329,0.0384,0.0031,0.0333,0.106,0.0353,0.341,0.0136,0.0147,0.0116,0.156
9,121.40997305168749,30.75205869425,0.222,0,0.778,0,0,0,0,0,0,0,0,0,0,0
10,121.4496232058125,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,121.4892733599375,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,121.5289235140625,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,121.5685736681875,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,121.6082238223125,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,121.6478739764375,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,121.6875241305625,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,121.7271742846875,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,121.76682443881249,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,121.80647459293749,30.75205869425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,121.0531216645625,30.78700170275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,121.0927718186875,30.78700170275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,121.1324219728125,30.78700170275,0.208,0.0833,0.146,0,0.0417,0.0417,0.0625,0.0208,0.0208,0,0.0417,0.0625,0,0.271
23,121.1720721269375,30.78700170275,0.0594,0.00475,0.126,0.0356,0.0166,0.0166,0.019,0.138,0.019,0.325,0.00713,0.0143,0.019,0.2
24,121.21172228106249,30.78700170275,0.0984,0,0.656,0.0164,0.0164,0,0,0.0656,0,0.115,0,0,0,0.0328
25,121.25137243518749,30.78700170275,0.0837,0,0.257,0.0589,0.0076,0.0019,0.0247,0.131,0.0209,0.293,0.0076,0.0209,0.0057,0.0875
26,121.29102258931249,30.78700170275,0.0914,0.0142,0.1,0.0347,0.027,0.0309,0.0154,0.148,0.0438,0.273,0.00257,0.00901,0.00257,0.207
27,121.33067274343749,30.78700170275,0.226,0.0847,0.137,0.0645,0.0161,0,0.0323,0.0847,0.0242,0.109,0.0645,0.0444,0.0121,0.101
28,121.37032289756249,30.78700170275,0.124,0,0.424,0.00275,0.0193,0,0.287,0.022,0.0413,0.0689,0.00275,0,0.00826,0
29,121.40997305168749,30.78700170275,0.0862,0.0101,0.122,0.0279,0.0279,0.00634,0.0456,0.132,0.019,0.327,0.0076,0.0139,0.0076,0.167
30,121.4496232058125,30.78700170275,0.167,0,0.667,0,0,0,0.167,0,0,0,0,0,0,0
31,121.4892733599375,30.78700170275,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,121.5289235140625,30.78700170275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,121.5685736681875,30.78700170275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,121.6082238223125,30.78700170275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,121.6478739764375,30.78700170275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,121.6875241305625,30.78700170275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,121.7271742846875,30.78700170275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,121.76682443881249,30.78700170275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,121.80647459293749,30.78700170275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,121.0531216645625,30.821944711249998,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
41,121.0927718186875,30.821944711249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,121.1324219728125,30.821944711249998,0.524,0,0.286,0,0,0,0.0476,0,0.0476,0.0476,0.0476,0,0,0
43,121.1720721269375,30.821944711249998,0.104,0.00216,0.154,0.0476,0.0325,0.00649,0.0281,0.117,0.0173,0.338,0.00216,0.00649,0.0108,0.134
44,121.21172228106249,30.821944711249998,0.0978,0.014,0.122,0.024,0.016,0.012,0.0439,0.138,0.02,0.317,0.00399,0.00599,0.00998,0.176
45,121.25137243518749,30.821944711249998,0.113,0.0348,0.47,0.0174,0.0174,0,0.0435,0.0522,0.0348,0.148,0.0087,0.0174,0,0.0435
46,121.29102258931249,30.821944711249998,0.0803,0.016,0.0442,0.0283,0.0397,0.0106,0.0381,0.167,0.0266,0.282,0.00983,0.016,0.0201,0.221
47,121.33067274343749,30.821944711249998,0.0603,0,0.629,0.00862,0.0431,0,0.0115,0.0575,0.00862,0.0862,0,0.0115,0,0.0833
48,121.37032289756249,30.821944711249998,0.08,0,0.7,0.06,0.1,0,0,0,0,0.06,0,0,0,0
49,121.40997305168749,30.821944711249998,0.0499,0.00998,0.0973,0.015,0.0374,0,0.0125,0.132,0.0249,0.384,0.00499,0.0175,0.0224,0.192
50,121.4496232058125,30.821944711249998,0.0758,0.00948,0.0916,0.03,0.0395,0.00632,0.0269,0.169,0.0158,0.28,0.0158,0.0442,0.0395,0.156
51,121.4892733599375,30.821944711249998,0.082,0.0123,0.0123,0.0123,0.172,0.0287,0.0082,0.0779,0.193,0.107,0.0328,0.0041,0.0123,0.246
52,121.5289235140625,30.821944711249998,0.0701,0.00519,0.0364,0.0156,0.0468,0.0545,0.026,0.135,0.026,0.252,0.0364,0.0623,0.0156,0.218
53,121.5685736681875,30.821944711249998,0.115,0.0769,0,0,0,0.154,0,0.0769,0,0,0.154,0.423,0,0
54,121.6082238223125,30.821944711249998,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,121.6478739764375,30.821944711249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,121.6875241305625,30.821944711249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,121.7271742846875,30.821944711249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,121.76682443881249,30.821944711249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,121.80647459293749,30.821944711249998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,121.0531216645625,30.85688771975,0.122,0.0174,0.151,0.0174,0.00581,0,0.093,0.14,0.0174,0.221,0.00581,0.0174,0.0174,0.174
61,121.0927718186875,30.85688771975,0.0776,0,0.416,0.0327,0.049,0,0.0204,0.0939,0.00408,0.188,0,0.00816,0.00816,0.102
62,121.1324219728125,30.85688771975,0.7,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0,0
63,121.1720721269375,30.85688771975,0.312,0.0312,0.156,0,0.0312,0.0312,0.0312,0.0625,0,0.281,0,0,0,0.0625
64,121.21172228106249,30.85688771975,0.125,0,0.75,0,0.0625,0,0,0,0,0.0625,0,0,0,0
65,121.25137243518749,30.85688771975,0.119,0.0847,0.136,0.0169,0.0169,0.0508,0,0.0847,0,0.254,0,0.0169,0.0169,0.203
66,121.29102258931249,30.85688771975,0.455,0.0606,0.121,0,0,0,0.0303,0.0606,0.0606,0.152,0.0606,0,0,0
67,121.33067274343749,30.85688771975,0.0615,0.0221,0.0996,0.0197,0.0295,0.00369,0.0264,0.14,0.0351,0.322,0.0111,0.024,0.00369,0.202
