base_id,base_key,latitude,longitude,poi_Transportation Facilities,poi_Leisure & Entertainment,poi_Companies & Enterprises,poi_Healthcare,poi_Commercial & Residential,poi_Tourist Attractions,poi_Automotive,poi_Life Services,poi_Science & Education & Culture,poi_Shopping & Consumer Goods,poi_Sports & Fitness,poi_Hotels & Accommodations,poi_Financial Institutions,poi_Dining & Cuisine
1,Base_3610000B0011,31.22764206,121.43932343,73,27,47,49,59,24,15,224,43,592,26,22,36,299
2,Base_3610000B0012,31.23788071,121.43593597,68,21,74,23,47,2,11,121,43,101,27,6,15,106
3,Base_3610000B0013,31.23728752,121.43444824,59,21,89,22,67,3,8,118,49,132,22,12,16,163
4,Base_3610000B0021,31.23469734,121.45807648,66,26,120,52,41,14,13,142,42,162,26,32,32,89
5,Base_3610000B0022,31.23272133,121.46170807,79,18,140,64,54,3,20,160,59,251,24,49,35,133
6,Base_3610000B0023,31.2322731,121.45776367,86,23,136,42,63,9,26,146,38,429,26,26,33,185
7,Base_3610000B0041,31.2432766,121.50343323,81,2,121,16,23,2,17,50,16,67,7,6,130,72
8,Base_3610000B0042,31.24391556,121.5026474,76,6,89,14,21,2,15,25,11,42,11,7,112,56
9,Base_3610000B0061,31.24733734,121.48001862,63,5,70,7,55,8,19,161,15,682,8,42,25,129
10,Base_3610000B0063,31.22325325,121.44410706,70,26,79,12,38,38,12,121,19,552,9,19,17,238
11,Base_3610000B0071,31.21984482,121.46640778,32,25,24,29,51,23,2,65,39,151,6,42,13,83
12,Base_3610000B0081,31.23730087,121.47674561,115,34,150,45,74,17,11,262,60,752,36,134,47,293
13,Base_3610000B0091,31.23349571,121.45378113,65,15,85,26,62,8,6,167,46,289,18,37,25,183
14,Base_3610000B0092,31.22211838,121.43987274,78,24,101,40,53,23,13,146,32,121,8,43,40,118
15,Base_3610000B00B1,31.23022842,121.47358704,73,25,93,7,33,12,10,52,36,87,13,15,31,194
16,Base_3610000B00B2,31.22816086,121.4759903,75,55,138,23,68,9,24,112,32,216,24,30,33,203
17,Base_3610000B00B3,31.22753716,121.4757309,77,48,115,27,69,9,24,99,34,207,19,24,37,180
18,Base_3610000B00C1,31.22925186,121.46834564,46,15,26,2,21,14,2,44,16,216,8,13,9,109
19,Base_3610000B00C2,31.22816467,121.46989441,69,10,40,11,21,15,16,63,22,250,15,10,19,105
20,Base_3610000B00C3,31.22717857,121.46710968,56,8,51,17,36,12,13,77,25,215,13,16,14,132
21,Base_3610000B00F1,31.22481346,121.44102478,109,33,111,41,45,43,24,264,44,667,24,36,46,308
22,Base_3610000B00F2,31.22363472,121.44494629,58,25,88,7,44,27,15,120,23,395,9,27,22,204
23,Base_3610000B00F3,31.22288513,121.44070435,96,35,116,35,50,38,15,192,34,248,19,37,34,212
24,Base_3610000B0101,31.2328434,121.47846222,74,20,132,19,75,2,19,87,36,143,12,125,19,136
25,Base_3610000B0102,31.23161316,121.47766876,74,23,125,17,75,3,14,96,39,127,14,108,27,170
26,Base_3610000B0103,31.23135376,121.47541809,86,35,139,17,63,6,16,97,45,148,15,37,41,191
27,Base_3610000B0111,31.24905777,121.47439575,47,6,45,5,55,1,15,90,14,1190,5,42,18,73
28,Base_3610000B0112,31.24698639,121.47635651,61,4,34,6,39,3,13,112,17,1532,6,60,12,156
29,Base_3610000B0113,31.2460289,121.47126007,52,8,28,7,31,5,13,58,11,334,7,9,13,16
30,Base_3610000B0121,31.24243546,121.46305847,41,9,44,9,44,4,4,65,20,92,7,42,14,46
31,Base_3610000B0122,31.23988533,121.46625519,60,11,72,10,68,9,4,75,17,246,4,51,21,71
32,Base_3610000B0123,31.2407856,121.45976257,27,10,38,8,52,9,3,34,17,82,8,12,12,36
33,Base_3610000B0131,31.23641777,121.48001862,90,25,156,50,60,19,18,166,43,520,30,143,43,201
34,Base_3610000B0132,31.2345314,121.47908783,81,13,140,30,63,5,15,110,39,201,13,137,32,139
35,Base_3610000B0133,31.23534393,121.47670746,128,34,173,32,70,10,16,217,64,487,31,133,56,262
36,Base_3610000B0141,31.24232483,121.47911835,64,11,119,37,67,13,7,135,39,571,13,108,33,223
37,Base_3610000B0142,31.24087143,121.47992706,74,24,106,36,67,26,5,181,48,801,13,117,35,322
38,Base_3610000B0143,31.24031258,121.47730255,77,28,124,35,62,12,9,194,38,679,23,97,44,286
39,Base_3610000B0151,31.23199844,121.43816376,40,23,86,16,64,5,7,85,34,154,12,26,21,122
40,Base_3610000B0152,31.22958946,121.43812561,58,24,82,20,65,7,10,89,39,144,17,28,22,147
41,Base_3610000B0153,31.23189163,121.43569946,48,25,83,22,68,3,8,80,34,156,12,28,16,136
42,Base_3610000B0171,31.23723412,121.46537781,63,14,44,30,75,7,5,116,22,169,6,59,30,121
43,Base_3610000B0172,31.2352829,121.47058868,91,56,96,26,31,31,14,242,56,1276,39,45,31,395
44,Base_3610000B0173,31.23309326,121.46317291,73,18,119,49,57,2,22,143,63,124,12,44,33,150
45,Base_3610000B0181,31.2261467,121.46564484,54,6,19,7,39,17,3,53,12,104,7,25,15,67
46,Base_3610000B0182,31.22189331,121.4670639,74,22,59,46,67,19,14,124,44,278,11,51,29,153
47,Base_3610000B0183,31.22566605,121.46131134,43,38,13,18,41,20,3,63,18,119,13,28,14,102
48,Base_3610000B0191,31.20446968,121.48447418,47,3,24,38,32,0,2,115,23,111,12,30,12,48
49,Base_3610000B0192,31.22547531,121.48712158,52,15,14,10,42,21,4,62,27,206,6,32,10,83
50,Base_3610000B01A1,31.32519913,121.52765656,16,1,5,7,9,2,1,44,12,53,0,3,3,48
51,Base_3610000B01A2,31.2267971,121.5133667,62,17,42,20,40,1,10,147,50,171,22,45,21,191
52,Base_3610000B01A3,31.32442284,121.52774048,17,2,4,9,7,2,1,44,16,55,0,6,4,53
53,Base_3610000B01C1,31.2329216,121.51326752,80,42,160,51,39,0,19,314,99,809,46,24,73,514
54,Base_3610000B01C2,31.23172379,121.51959229,49,12,122,25,29,4,11,105,27,155,15,18,70,164
55,Base_3610000B01C3,31.22946739,121.51285553,86,41,144,58,40,1,18,331,126,908,59,38,43,460
56,Base_3610000B01D1,31.2263031,121.471138,91,32,96,42,44,12,33,123,40,337,26,15,31,173
57,Base_3610000B01E1,31.22768021,121.47351074,76,42,69,18,36,12,23,86,20,208,19,12,36,182
58,Base_3610000B01E2,31.23841476,121.47371674,91,54,205,37,71,13,8,255,53,968,28,129,30,408
59,Base_3610000B01F1,31.22273445,121.47014618,104,30,100,55,45,20,32,145,35,386,20,17,38,204
60,Base_3610000B01F2,31.25451088,121.49893188,46,2,42,0,30,4,5,19,9,15,3,18,9,20
61,Base_3610000B0201,31.22527695,121.46920776,92,18,120,38,48,14,30,125,42,311,23,26,39,175
62,Base_3610000B0202,31.22349548,121.46687317,79,16,83,40,60,17,23,125,37,350,8,41,33,197
63,Base_3610000B0211,31.22209549,121.46869659,91,29,76,47,58,21,19,137,28,345,18,35,31,183
64,Base_3610000B0221,31.22880173,121.45654297,75,13,73,22,65,10,20,125,27,396,11,43,30,223
